expression,reading,meaning,tags,guid,vietnamese_definition
やがて,やがて,"before long, soon, at length",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8,nlnms.mL_|,Sau cùng
役,やく,"role, position",JLPT JLPT_2 JLPT_3,sc=i9?h^tQ,Vai trò
約,やく,"approximately, about, some",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.11,L31l;C5Xp=,Về
訳,やく,translation,JLPT JLPT_2 JLPT_3,CmgPQjblgT,lý do
訳す,やくす,to translate,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.2,Cj2Ni~H!BW,Dịch
役割,やくわり,"assigning (allotment of) parts, role, duties",JLPT JLPT_2 JLPT_3,"jj*z,nk6$Z",vai trò
家賃,やちん,rent,JLPT Genki_Ln.18 JLPT_3 JLPT_2 Genki,Og7<v^:R8@,thuê
厄介,やっかい,"trouble, burden, care",JLPT JLPT_2 JLPT_3,O_#+8qFx*C,Gây phiền phức
宿,やど,"inn, lodging",JLPT JLPT_2 JLPT_3,F8A%9EzpfO,nhà trọ
雇う,やとう,"to employ, to hire",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8,fsV)jU5lVf,thuê
屋根,やね,roof,JLPT JLPT_2 JLPT_3,K@]5qy=.%v,mái nhà
破る,やぶる,to tear; to violate; to defeat,JLPT JLPT_2 JLPT_3,Hc|1rO==::,để phá vỡ
破れる,やぶれる,"to get torn, to wear out",JLPT JLPT_2 JLPT_3,Q>N&s5^Kb%,xé
辞める,やめる,to retire,JLPT JLPT_2 JLPT_3,J|2c^zFs0y,Tôi nghỉ việc
やや,やや,"a little, partially, somewhat",JLPT JLPT_2 JLPT_3,OikgR+nKY0,phần nào
唯一,ゆいいつ,"only, sole, unique",JLPT JLPT_2 JLPT_3,mNuH=kxM-E,chỉ một
勇気,ゆうき,"courage, bravery, boldness",JLPT JLPT_2 JLPT_3,z0tdm#]12w,lòng can đảm
友好,ゆうこう,friendship,JLPT JLPT_2 JLPT_3,qSk@+t:._p,thân thiện
有効,ゆうこう,"valid, effectual",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.10,iL.?i)%fKm,có hiệu lực
優秀,ゆうしゅう,"superiority, excellence",JLPT JLPT_2 JLPT_3,O^v!ja{$6},xuất sắc
優勝,ゆうしょう,"overall victory, championship",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.7,Gxir)F$3h;,Chiến thắng
友情,ゆうじょう,"friendship, fellowship",JLPT JLPT_2 JLPT_3,hpnSza2$^g,Tình bạn
友人,ゆうじん,friend (formal),JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15 Intermediate_Japanese_Ln.2,iE%IT=Qp]>,bạn bè
有能,ゆうのう,"able, capable, efficient",JLPT JLPT_2 JLPT_3,P0&QeU;_J8,Có năng lực
郵便,ゆうびん,"mail, postal service",JLPT JLPT_2 JLPT_3,y1Pm-8jy]k,Thư
ユーモア,ユーモア,humor,JLPT JLPT_2 JLPT_3,df%[k|%u*+,hài hước
有利,ゆうり,"advantageous, better",JLPT JLPT_2 JLPT_3,H]2^aHqq32,thuận lợi
床,ゆか,floor,JLPT JLPT_2 JLPT_3,lG~]%rmVy|,sàn nhà
愉快,ゆかい,"pleasant, happy",JLPT JLPT_2 JLPT_3,"o,+Kowdko`",vui sướng
譲る,ゆずる,"to turn over, to assign, to hand over",JLPT JLPT_2 JLPT_3,Hvg@/iJB}O,Tặng quà
豊か,ゆたか,"abundant, wealthy, plentiful, rich",JLPT JLPT_2 JLPT_3,"d9lbZ0yM,{",giàu có
茹でる,ゆでる,to boil,JLPT JLPT_2 JLPT_3,vocx6RiGG7,đun sôi
許す,ゆるす,"to permit, to allow, to approve",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8,jUZ.+k2dQs,tha thứ
夜,よ,"evening, night",JLPT JLPT_2 JLPT_3,O|UO#;VR|i,đêm
夜明け,よあけ,"dawn, daybreak",JLPT JLPT_2 JLPT_3,P]gvvnr3UX,bình minh
酔う,よう,to get drunk,JLPT JLPT_2 JLPT_3,Nw#Iv9NMME,say xỉn
容易,ようい,"easy, simple, plain",JLPT JLPT_2 JLPT_3,P+bB1Di`Ky,dễ
容器,ようき,"container, vessel",JLPT JLPT_2 JLPT_3,iaea{|Cg@:,thùng chứa
陽気,ようき,"season, weather, cheerfulness",JLPT JLPT_2 JLPT_3,u51di;kV4W,Vui vẻ
要求,ようきゅう,"request, demand",JLPT JLPT_2 JLPT_3,nvC?4QsNf},Yêu cầu
用心,ようじん,"care, precaution, caution",JLPT JLPT_2 JLPT_3,Flc5De-&7.,Từ tận đáy lòng
様子,ようす,"aspect, state, appearance",JLPT JLPT_2 JLPT_3,A7/`ZQ{`>8,tình trạng
要するに,ようするに,"in a word, after all, in short …",JLPT JLPT_2 JLPT_3,FOjPBhXtfP,tóm lại
要素,ようそ,element,JLPT JLPT_2 JLPT_3,GZk%&=rm6%,yếu tố
要点,ようてん,"gist, main point",JLPT JLPT_2 JLPT_3,Qs5wBsMZ.},Điểm chính
曜日,ようび,day of the week,JLPT JLPT_2 JLPT_3,H-|U<zuUTq,ngày trong tuần
ヨーロッパ,ヨーロッパ,Europe,JLPT JLPT_2 JLPT_3,cEJaT(aXg,Châu Âu
予期,よき,"expectation, forecast",JLPT JLPT_2 JLPT_3,k(Z/4d8ciX,Hy vọng
横切る,よこぎる,"to cross (e.g., arms), to traverse",JLPT JLPT_2 JLPT_3,ba+_Ekz}4>,đi qua
汚す,よごす,"to pollute, to make dirty",JLPT JLPT_2 JLPT_3,gASRu}ar&],Để nhuộm
予算,よさん,"estimate, budget",JLPT JLPT_2 JLPT_3,k15uOKT$nk,ngân sách
止す,よす,"to cease, to give up",JLPT JLPT_2 JLPT_3,g87)Rqp|@G,Dừng lại
寄せる,よせる,"to collect, to gather, to put aside",JLPT JLPT_2 JLPT_3,M9{&7Gc5&~,Đưa lại gần hơn
予測,よそく,"prediction, estimation",JLPT JLPT_2 JLPT_3,E(^1aDIi!6,dự đoán
ヨット,ヨット,yacht,JLPT JLPT_2 JLPT_3,G/C^ah63g_,Du thuyền
夜中,よなか,"midnight, dead of night",JLPT JLPT_2 JLPT_3,QTA:28I)zV,Nửa đêm
世の中,よのなか,"society, the world",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14,zQaur22G#@,thế giới
余分,よぶん,"extra, excess, surplus",JLPT JLPT_2 JLPT_3,uLcn4c5r}h,thêm
予報,よほう,"forecast, prediction",JLPT JLPT_2 JLPT_3,CpZ2Kf3K1p,dự báo
予防,よぼう,"prevention, protection against",JLPT JLPT_2 JLPT_3,rDZhF+<_&},phòng ngừa
読み,よみ,reading,JLPT JLPT_2 JLPT_3,K?H`Don1~V,đọc
嫁,よめ,"bride, daughter-in-law",JLPT JLPT_2 JLPT_3,oRq&EQjfdU,vợ
余裕,よゆう,excess; surplus,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15,E;;B#u-gwT,phòng
より,より,"twist, ply",JLPT JLPT_2 JLPT_3,"P,gDgn3/%z",xoắn
因る,よる,to come from,JLPT JLPT_2 JLPT_3,bk:?0yP.}A,bởi vì 
喜び,よろこび,"joy, pleasure, rejoicing",JLPT JLPT_2 JLPT_3,K+wNM)/!OH,vui sướng
よろしく (かん),よろしく (かん),"best regards, please remember me",JLPT JLPT_2 JLPT_3,uLM;15kvNe,Cảm ơn (Kan)
四,よん,four,JLPT JLPT_2 JLPT_3,FT^HSOQQHt,Bốn
来,らい～,next ~,JLPT JLPT_2 JLPT_3,A=wX.vJ`;k,Đến
ライター,ライター,lighter; writer,JLPT JLPT_2 JLPT_3,NgUl4>*Khu,nhà văn
楽,らく,"comfort, ease",JLPT JLPT_2 JLPT_3,DiE;3Dx>c<,dễ
ラケット,ラケット,racket,JLPT JLPT_2 JLPT_3,rc5WF%qwi^,vợt
利益,りえき,"profits, gains",JLPT JLPT_2 JLPT_3,j{(4)&Jk(I,Lợi ích
理解,りかい,"understanding, comprehension",JLPT JLPT_2 JLPT_3,kKF%t{|4d1,hiểu 
陸,りく,"land, shore",JLPT JLPT_2 JLPT_3,f7mi}zh7:U,đất
利口,りこう,"clever, shrewd, bright",JLPT JLPT_2 JLPT_3,fywFMWmChi,thông minh
離婚,りこん,divorce,JLPT JLPT_2 JLPT_3,PI9p-(a/mR,ly hôn
理想,りそう,ideal,JLPT JLPT_3 JLPT_2 Genki_Ln.23 Genki,Ev]+?).P_6,lý tưởng
率,りつ,"rate, ratio, percentage",JLPT JLPT_2 JLPT_3,s+WV`q_zTd,Tỷ lệ
留学,りゅうがく,studying abroad,JLPT JLPT_2 JLPT_3,jA_j8gA?Xq,Du học
流行,りゅうこう,"fashionable, fad, prevailing",JLPT JLPT_2 JLPT_3,oDwVFzWRDw,Sự phổ biến
量,りょう,"quantity, amount",JLPT JLPT_2 JLPT_3,EL&y=qJ[p],Số lượng
寮,りょう,"hostel, dormitory",Genki_Ln.17 JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.2 Genki,v~j5~V9)9G,ký túc xá
両替,りょうがえ,"change, money exchange",JLPT JLPT_2 JLPT_3,d:;<z]06Bi,Tỷ giá hối đoái
料金,りょうきん,"fee, charge, fare",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.10,zVvm;g>0?l,Phí
例,れい,"instance, example, case",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.2,kB-8@n:7>K,ví dụ
礼,れい,expression of gratitude; bow,JLPT JLPT_2 JLPT_3,EZ&Acuix#;,Cây cung
例外,れいがい,exception,JLPT JLPT_2 JLPT_3,tw6[F{cyVX,ngoại lệ
礼儀,れいぎ,"manners, courtesy, etiquette",JLPT JLPT_2 JLPT_3,Gd12dxU_~f,lịch sự
冷静,れいせい,"calm, coolness",JLPT JLPT_2 JLPT_3,B49T]&wBB/,Điềm tĩnh
列,れつ,"queue, line, row",JLPT JLPT_2 JLPT_3,xG=0sSj|M],Danh sách
列車,れっしゃ,train (ordinary),JLPT JLPT_2 JLPT_3,QT2^`L&p0(,xe lửa
レベル,レベル,level,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.5,zpbh!KoN[L,mức độ
連想,れんそう,"association (of ideas), suggestion",JLPT JLPT_2 JLPT_3,"NQ21Zh,%s4",Sự kết hợp
連続,れんぞく,"consecutive, continuity, continuing",JLPT JLPT_2 JLPT_3,ODN;p&H}o6,liên tục
老人,ろうじん,"the aged, old person",JLPT JLPT_2 JLPT_3,Fz<ozu`hKp,trưởng lão
労働,ろうどう,"labor, work",JLPT JLPT_2 JLPT_3,svW#2;;Cv:,nhân công
ロケット,ロケット,"locket, rocket",JLPT JLPT_2 JLPT_3,s>l2C%ZS6!,tên lửa
論じる,ろんじる,"to argue, to discuss",JLPT JLPT_2 JLPT_3,PV@[>Orc)!,để thảo luận
論争,ろんそう,"controversy, dispute",JLPT JLPT_2 JLPT_3,OnROo#.Af[,Tranh cãi
論文,ろんぶん,"thesis, paper",JLPT JLPT_2 JLPT_3,x9Y&i=]xwo,giấy
輪,わ,"ring, hoop, circle",JLPT JLPT_2 JLPT_3,FnX+2P-4%V,bánh xe
ワイン,ワイン,wine,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.9,k_34Ad?RbL,rượu 
わがまま,わがまま,"selfishness, egoism, willfulness",JLPT JLPT_2 JLPT_3,EZq`y]jF5A,Ích kỷ
別れ,わかれ,"parting, separation, farewell",JLPT JLPT_2 JLPT_3,OMtj+e3iBn,Tạm biệt
分かれる,わかれる,"to branch off, to diverge from",JLPT JLPT_2 JLPT_3,"h3]%FQ}r,e",để tách biệt
脇,わき,side,JLPT JLPT_2 JLPT_3,jKWknj-GZC,bên
湧く,わく,"to boil, to grow hot",JLPT JLPT_2 JLPT_3,eVR+00~Wm,mọc lên
分ける,わける,"to divide, to separate",JLPT JLPT_2 JLPT_3,o0j(Vbh=Dm,Chia
わざと,わざと,on purpose,JLPT JLPT_2 JLPT_3,viYnUwNT3<,cố ý
僅か,わずか,"only, merely, a little",JLPT JLPT_2 JLPT_3,q2B/3.([A6,nhẹ nhàng
綿,わた,cotton,JLPT JLPT_2 JLPT_3,v86=9+m*Zo,bông
話題,わだい,"topic, subject",JLPT JLPT_2 JLPT_3,z8.CmK<Fdr,đề tài
笑い,わらい,"laugh, laughter, smile",JLPT JLPT_2 JLPT_3,DQ4$VTV1]U,Tiếng cười
割る,わる,"to divide, to break",JLPT JLPT_2 JLPT_3,oEUIbaXq]C,chia
悪口,わるくち,"abuse, insult",JLPT JLPT_2 JLPT_3,"d]Rs;YIR,B",Lời lăng mạ
我々,われわれ,we,JLPT JLPT_2 JLPT_3,E2(6GHR8(/,chúng tôi
湾,わん,"bay, gulf, inlet",JLPT JLPT_2 JLPT_3,P6{jsCe:#w,Vịnh
椀,わん,bowl,JLPT JLPT_2 JLPT_3,l4kkf<]hlo,cái bát
碗,わん,bowl,JLPT JLPT_2 JLPT_3,jaH28ERkuW,cái bát
悪,あく,"evil, vice",JLPT_1 JLPT JLPT_3,Q1DWi+VRb<,độc ác
当り,あたり,"hit, success, reaching the mark",JLPT_1 JLPT JLPT_3,pvdd^T@ma/,Chiến thắng
アップ,アップ,up,JLPT_1 JLPT JLPT_3,A[u&?[.Bro,hướng lên
宛てる,あてる,"to address, to put",JLPT_1 JLPT JLPT_3,l&CGpg$n)R,Địa chỉ
アンケート,アンケート,"questionnaire (FRE: enquete), survey",JLPT_1 JLPT JLPT_3,"jvw,M=`Mc4",bảng câu hỏi
異,い,difference (of opinion),JLPT_1 JLPT JLPT_3,KWy%Q&s$/y,khác biệt
意,い,will,JLPT_1 JLPT JLPT_3,ue.p8Uogo],nghĩa
医院,いいん,"doctor's office (surgery), clinic",JLPT_1 JLPT JLPT_3,cxetSKwBbl,Bệnh viện
怒り,いかり,anger,JLPT_1 JLPT JLPT_3,eag:XoP`Iu,sự tức giận
粋,いき,"chic, style, purity",JLPT_1 JLPT JLPT_3,ugWhTIM%@o,Phong cách
意地,いじ,"disposition, spirit, obstinacy, appetite",JLPT_1 JLPT JLPT_3,Bt*R$hF@~7,Sự cứng đầu
依然,いぜん,"still, as yet",JLPT_1 JLPT JLPT_3,gx*_AN|$_R,vẫn
傷める,いためる,"to damage, to impair, to spoil",JLPT_1 JLPT JLPT_3,uF3-=@-Bpo,hư hại
炒める,いためる,to stir-fry,JLPT_1 JLPT JLPT_3,"G^,`T^H<Y$",món xào
一帯,いったい,"a region, the whole place",JLPT_1 JLPT JLPT_3,DAOK/%LCS(,toàn bộ khu vực
異動,いどう,"a change, transfer",JLPT_1 JLPT JLPT_3,ew^/izF?S5,Chuyển khoản
衣料,いりょう,clothing,JLPT_1 JLPT JLPT_3,gj0|x/@YEn,Quần áo
渦,うず,swirl,JLPT_1 JLPT JLPT_3,sfWs{S%^qV,xoáy
埋まる,うまる,"to be buried, to be filled",JLPT_1 JLPT JLPT_3,7lK)HuokX,Đổ đầy
産む,うむ,"to give birth (v.t.), to deliver, to produce",JLPT Intermediate_Japanese JLPT_1 JLPT_3 Intermediate_Japanese_Ln.14,r|}xM1gEOl,sinh con
縁,えん,"chance, tie, relationship",JLPT_1 JLPT JLPT_3,oaiH%ZtU~K,bờ rìa
尾,お,"tail, ridge",JLPT_1 JLPT JLPT_3,wE6#3`(P-s,đuôi
負う,おう,"to bear, to owe",JLPT_1 JLPT JLPT_3,u~;tItu4oL,con gấu
遅れ,おくれ,"delay, lag",JLPT Intermediate_Japanese JLPT_1 JLPT_3 Intermediate_Japanese_Ln.14,l%9;2PC4x+,trì hoãn
教え,おしえ,"teachings, doctrine",JLPT_1 JLPT JLPT_3,xPgyX4=PH+,bài học
驚き,おどろき,"surprise, astonishment, wonder",JLPT_1 JLPT JLPT_3,uYPDwf:Xey,sự ngạc nhiên
織る,おる,to weave,JLPT_1 JLPT JLPT_3,H-^?L/FUtJ,dệt
欠く,かく,"to lack, to crack",JLPT_1 JLPT JLPT_3,"y:z4,KW,Y-",Thiếu
角,かく,angle,JLPT_1 JLPT JLPT_3,Q3RPtFjJo6,còi
核,かく,"nucleus, kernel",JLPT_1 JLPT JLPT_3,e?}Lbq98=N,hạt nhân
格,かく,"status, character, case",JLPT_1 JLPT JLPT_3,Bd<&>IEN#(,lưới
学歴,がくれき,academic background,JLPT_1 JLPT JLPT_3,"oJD!i#Ghj,",Trình độ học vấn
駆ける,かける,to run,JLPT_1 JLPT JLPT_3,AlwjF+uaKO,Chạy
賭ける,かける,"to bet, to risk, to gamble",JLPT_1 JLPT JLPT_3,dX$E2ISF?E,đặt cược
課題,かだい,"subject, theme, task",JLPT_1 JLPT JLPT_3,JNxi3:**/$,phân công
片付け,かたづけ,"tidying up, finishing",JLPT_1 JLPT JLPT_3,b8#*+`Yer.,dọn dẹp
加味,かみ,"seasoning, flavoring",JLPT_1 JLPT JLPT_3,IDJ]6]i7Jx,Hương vị
借り,かり,"borrowing, debt, loan",JLPT_1 JLPT JLPT_3,eJ@~/@E_cp,vay mượn
狩り,かり,hunting,JLPT_1 JLPT JLPT_3,F*!5GCg4U&,săn bắn
管,かん,"pipe, tube",JLPT_1 JLPT JLPT_3,fcs)GZ>f[[,Ống
～観,かん,"feeling, view",JLPT_1 JLPT JLPT_3,L#gN7p7zR4,~Xem
癌,がん,cancer,JLPT_1 JLPT JLPT_3,"p~,cAC,D+|",bệnh ung thư
刊行,かんこう,"publication, issue",JLPT_1 JLPT JLPT_3,M#=U8)QH)D,Ấn phẩm
慣行,かんこう,"customary practice, habit, traditional event",JLPT_1 JLPT JLPT_3,xk+2IzF[p%,Luyện tập
歓声,かんせい,"cheer, shout of joy",JLPT_1 JLPT JLPT_3,"w6B,F.u4!.",Chúc mừng!
官僚,かんりょう,"bureaucrat, bureaucracy",JLPT_1 JLPT JLPT_3,vh@[V;%&ao,bộ máy quan liêu
器官,きかん,"organ (of body, instrument)",JLPT_1 JLPT JLPT_3,N2?AghIU$R,cơ quan
季刊,きかん,"quarterly (e.g., magazine)",JLPT_1 JLPT JLPT_3,I;$Bk_n?X#,hàng quý
起源,きげん,"origin, beginning, rise",JLPT_1 JLPT JLPT_3,tlShs$oI^},nguồn gốc
機構,きこう,"mechanism, organization",JLPT_1 JLPT JLPT_3,i}B:Es]N)f,cơ chế
築く,きずく,"to build, to establish",JLPT_1 JLPT JLPT_3,i^HMG^80!G,xây dựng
規制,きせい,regulation,JLPT_1 JLPT JLPT_3,CN`|`I@cQ2,Quy định
丘陵,きゅうりょう,hill,JLPT_1 JLPT JLPT_3,"E9ld1,7]!f",đồi
協議,きょうぎ,"conference, discussion, negotiation",JLPT_1 JLPT JLPT_3,Q?<#X?Sj/E,giao thức
享受,きょうじゅ,"enjoyment, being given",JLPT_1 JLPT JLPT_3,QIS<k>N.yl,thưởng thức
協調,きょうちょう,"co-operation, conciliation, harmony",JLPT_1 JLPT JLPT_3,q1MP[9CeAj,phối hợp
切り,きり,"limits, place to leave off",JLPT_1 JLPT JLPT_3,B0AWr56JJ:,cắt
菌,きん,"germ, bacterium",JLPT_1 JLPT JLPT_3,tmpS/:#W86,vi khuẩn
近視,きんし,nearsightedness,JLPT_1 JLPT JLPT_3,"NkNB,nl-$5",Cận thị
苦,く,"trouble, worry, difficulty",JLPT_1 JLPT JLPT_3,rAG1%p4z{~,vị đắng
群,ぐん,group,JLPT_1 JLPT JLPT_3,"LN,Tx3PlR-",nhóm
刑,けい,"penalty, sentence, punishment",JLPT_1 JLPT JLPT_3,"lZo,b@3#8r",Hình phạt
経緯,けいい,"sequence of events, course",JLPT_1 JLPT JLPT_3,vg;b<1L}X},lý lịch
計器,けいき,"meter, gauge",JLPT_1 JLPT JLPT_3,D|{=p=rf^U,Nhạc cụ
契機,けいき,"opportunity, chance",JLPT_1 JLPT JLPT_3,K8C9CieJaA,Cơ hội
携帯,けいたい,carrying something; mobile telephone,JLPT_1 JLPT JLPT_3,IrGZ6yI4>+,điện thoại di động
形態,けいたい,"form, shape, figure",JLPT_1 JLPT JLPT_3,e/5N$:Z!T-,hình thức
血管,けっかん,blood vessel,JLPT_1 JLPT JLPT_3,QbJ9AEIh9>,Mạch máu
決行,けっこう,"doing (with resolve), carrying out (e.g., a plan)",JLPT_1 JLPT JLPT_3,F-+3sLP~)5,tiến hành
件,けん,"matter, case, item",JLPT_1 JLPT JLPT_3,kQ?0ViPK+4,Mục
減少,げんしょう,"decrease, reduction, decline",JLPT_1 JLPT JLPT_3,k4_<}lhTb#,giảm bớt
公演,こうえん,public performance,JLPT_1 JLPT JLPT_3,H?FP7|9MSw,hiệu suất
後悔,こうかい,"regret, repentance",JLPT_1 JLPT JLPT_3,Q1e2dQ@sG$,hối tiếc
航海,こうかい,"sail, voyage",JLPT_1 JLPT JLPT_3,dFa`<B!Rly,điều hướng
拘束,こうそく,"restriction, restraint",JLPT_1 JLPT JLPT_3,wAH|5]9<;T,Giam giữ
荒廃,こうはい,ruin,JLPT_1 JLPT JLPT_3,Pi<&-yXN08,Sự hoang tàn
降伏,こうふく,"capitulation, surrender, submission",JLPT_1 JLPT JLPT_3,nz>D*v/PPD,Đầu hàng
興奮,こうふん,"excitement, stimulation",JLPT_1 JLPT JLPT_3,uG+;eVvuCD,hào hứng
語句,ごく,"words, phrases",JLPT_1 JLPT JLPT_3,IeE<Oj.e6u,Tuyên bố
個々,ここ,"individual, one by one",JLPT_1 JLPT JLPT_3,p2d:ics3}r,cá nhân
故人,こじん,the deceased,JLPT_1 JLPT JLPT_3,i${0Y&niQE,người đã chết
小銭,こぜに,"coins, small change",JLPT_1 JLPT JLPT_3,"e/(},oiNGD",đồng xu
ことによると,ことによると,(depending on the circumstances),JLPT_1 JLPT JLPT_3,B{&~P5e&VY,Tùy thuộc vào hoàn cảnh
コンテスト,コンテスト,contest,JLPT_1 JLPT JLPT_3,sp5g%^>}gq,cuộc thi
採集,さいしゅう,"collecting, gathering",JLPT_1 JLPT JLPT_3,Np[aMg9Zl4,bộ sưu tập
作,さく,"a work, a harvest",JLPT_1 JLPT JLPT_3,e0vQj1EM3V,LÀM
策,さく,"plan, policy",JLPT_1 JLPT JLPT_3,m7/9u%VJ!K,Chiến lược
設備,せつび,"equipment, device, facilities",JLPT JLPT_2 JLPT_3,LIo%jKRqQs,thiết bị
絶滅,ぜつめつ,"destruction, extinction",JLPT JLPT_2 JLPT_3,io[YAo{Uu@,sự tuyệt chủng
節約,せつやく,"economizing, saving",JLPT JLPT_2 JLPT_3,"HN*O,b6I.s",cứu
攻める,せめる,"to attack, to assault",JLPT JLPT_2 JLPT_3,tc4C[W7HwN,tấn công
責める,せめる,"to condemn, to blame, to criticize",JLPT JLPT_2 JLPT_3,h&^&{;rWzw,đổ tội
善,ぜん,"good, virtue",JLPT JLPT_2 JLPT_3,I+Wsd9&>8`,Tốt
全,ぜん,"all, whole, entire",JLPT JLPT_2 JLPT_3,"AlSQZeMOe,",Hoàn thành
全員,ぜんいん,all members,JLPT JLPT_2 JLPT_3,sZoXHnMU/8,Tất cả
専攻,せんこう,"major subject, special study",JLPT JLPT_2 JLPT_3,ya8a{Dc>vj,Lớn lao
全国,ぜんこく,"the entire nation, country-wide, nation-wide",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.7,^t`okG[_.,Toàn quốc
洗剤,せんざい,detergent,JLPT JLPT_2 JLPT_3,L<+Y;nNWE2,chất tẩy rửa
先日,せんじつ,"the other day, a few days ago",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.2,u}70pX97Ud,hôm nọ
前者,ぜんしゃ,the former,JLPT JLPT_2 JLPT_3,PvTkSo0mR<,trước
選手,せんしゅ,player selected for a team (usually athletic),JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.7,v.;e@CEJx|,người chơi
全身,ぜんしん,"the whole body, full-length (portrait)",JLPT JLPT_2 JLPT_3,pwxE{6M)x(,toàn thân
前進,ぜんしん,"advance, drive, progress",JLPT JLPT_2 JLPT_3,Bf[eOsL^b6,cứ tiếp tục đi
センター,センター,center,JLPT JLPT_2 JLPT_3,CxiSJ@d^~:,Trung tâm
全体,ぜんたい,"whole, entirety, whatever (is the matter)",JLPT JLPT_2 JLPT_3,"P>z,++>r(]",trọn
選択,せんたく,"selection, choice",JLPT JLPT_2 JLPT_3,k:.P/+fPZu,sự lựa chọn
宣伝,せんでん,"advertisement, publicity",JLPT JLPT_2 JLPT_3,JC$lTUtjG[,Quảng cáo
象,ぞう,elephant,JLPT Genki_Ln.13 JLPT_3 JLPT_2 Genki,q&<afrju^O,con voi
騒音,そうおん,noise,JLPT JLPT_2 JLPT_3,Nq>ZUuvl@9,tiếng ồn
増加,ぞうか,"increase, addition",JLPT JLPT_2 JLPT_3,LCq]gC<#T),tăng
操作,そうさ,"operation, management, processing",JLPT JLPT_2 JLPT_3,"mJ]7X>,V`y",vận hành
想像,そうぞう,"imagination, guess",JLPT JLPT_2 JLPT_3,k^1Z0>wFtS,tưởng tượng
相続,そうぞく,"succession, inheritance",JLPT JLPT_2 JLPT_3,gLl5L9nWQL,thừa kế
装置,そうち,"equipment, installation, apparatus",JLPT JLPT_2 JLPT_3,QP$y~p+;R`,Thiết bị
相当,そうとう,"considerably, fairly; worth ~",JLPT JLPT_2 JLPT_3,X|0~/xXGn,khá
速度,そくど,"speed, velocity, rate",JLPT JLPT_2 JLPT_3,H;GE;N$A%],tốc độ
底,そこ,"bottom, sole",JLPT JLPT_2 JLPT_3,E!a4:Hc]KR,kết thúc
そこで,そこで,"so (conj.), accordingly",JLPT JLPT_2 JLPT_3,Q`8<U+}b2H,Vì thế
組織,そしき,organization; structure; tissue,JLPT JLPT_2 JLPT_3,zpGgl@h_Va,tổ chức
そして,そして,and then,JLPT Genki_Ln.11 JLPT_3 JLPT_2 Genki,HVz1zz!rU*,Và
注ぐ,そそぐ,to pour (into),JLPT JLPT_2 JLPT_3,O|qtLZv)ag,đổ
育つ,そだつ,"to be brought up, to grow (up)",JLPT JLPT_2 JLPT_3,DVd%wrkTnE,lớn lên
そっくり,そっくり,the splitting image of; entirely,JLPT JLPT_2 JLPT_3,"il,5{T<Ci/",Chúng trông giống hệt nhau.
そっと,そっと,"softly, gently",JLPT JLPT_2 JLPT_3,dNlkAuY%B;,Nhẹ nhàng
袖,そで,sleeve,JLPT JLPT_2 JLPT_3,qAnG-iHgN/,tay áo
備える,そなえる,"to prepare, to furnish, to store",JLPT JLPT_2 JLPT_3,nSf<nF|Wp=,Chuẩn bị
具える,そなえる,to be furnished with,JLPT JLPT_2 JLPT_3,HK##7~;{8M,Để trang bị
そのうえ,そのうえ,"in addition, furthermore",JLPT JLPT_2 JLPT_3,g4O`W+&@o;,Hơn thế nữa
そのうち,そのうち,"before long, eventually, sooner or later",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.1,PuLL>@8)rT,Sau cùng
そのまま,そのまま,"without change, as it is (e.g., now)",JLPT JLPT_2 JLPT_3,Ct<iM4(-qV,Cũng như vậy
蕎麦,そば,soba (buckwheat noodles),JLPT JLPT_2 JLPT_3,Bbh7N0fI`c,Kiều mạch
ソファー,ソファー,"sofa, couch",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12,z;bE4U6LP3,ghế sofa
