expression,reading,meaning,tags,guid,vietnamese_definition
先輩,せんぱい,senior members of a group,Genki Genki_Ln.22 JLPT JLPT_N4,iQ7T^oqMw-,người lớn tuổi
約束,やくそく,"arrangement, appointment, promise",Genki Genki_Ln.13 JLPT JLPT_N4,gG#1gGEk5+,hứa
世話,せわする,looking after; to look after,JLPT JLPT_N4,u{y[j%Z9W2,chăm sóc
近所,きんじょ,neighborhood,JLPT JLPT_N4,hCRlD3m.g(,hàng xóm
将来,しょうらい,(in the) future; prospects,Genki Genki_Ln.11 Intermediate_Japanese_Ln.5 JLPT JLPT_N4,y@QKAOSu|U,tương lai
億,おく,hundred million,JLPT JLPT_N4,iX-FN@Kj?p,100 triệu
数学,すうがく,mathematics,JLPT JLPT_N4,EO5o6*tgn9,toán học
文化,ぶんか,culture,Genki Genki_Ln.19 JLPT JLPT_N4,z%ky|Q={QQ,văn hoá
払う,はらう,to pay,Genki Genki_Ln.10 Intermediate_Japanese_Ln.3 JLPT JLPT_N4,i~kIT)jn~k,chi trả
習慣,しゅうかん,custom (in reference to culture),JLPT JLPT_N4,v)1shr#hf=,Thói quen
焼ける,やける,"to burn, to be roasted",JLPT JLPT_N4,ws>!BOMOtu,cháy
君,きみ,you (informal for men),JLPT JLPT_N4,P|5<lpF.:2,Bạn
冷える,ひえる,"to grow cold, to cool down",JLPT JLPT_N4,np-S*rxEi@,Trời trở lạnh
点く,つく,"to be started, to be switched on",JLPT JLPT_N4,s+|BHBlyTh,Thắp sáng lên
この間,このあいだ,"the other day, recently",Genki Genki_Ln.16 JLPT JLPT_N4,c(L)|Hc$oD,Trong thời gian này
格好,かっこう,"appearance, manner, shape, form, posture",JLPT JLPT_N4,j4zgBW-)uI,phong cách
かまう,,"to mind, to care about, to be concerned about",JLPT JLPT_N4,l%US3Ov|)s,Quan tâm đến
続ける,つづける,"to continue, to keep up",Genki Genki_Ln.21 JLPT JLPT_N4,Dmf=K4sY#J,Tiếp tục
落す,おとす,"to drop, to lose",JLPT JLPT_N4,p0#ZhzpH-},làm rơi
明日,あす,tomorrow,JLPT JLPT_N4,ITR}TzQQ.H,Ngày mai
出発,しゅっぱつする,departure,JLPT JLPT_N4,hH4(GI}wN&,sự khởi hành
拝見,はいけんする,"(humble) (polite) seeing, look at",JLPT JLPT_N4,udBE2Kt)`=,Tôi đã nhìn thấy nó.
割れる,われる,to break,JLPT JLPT_N4,G?t1hbgS`?,phá vỡ
背中,せなか,back (of body),JLPT JLPT_N4,hg%3^*8ICS,mặt sau
新聞社,しんぶんしゃ,newspaper company,JLPT JLPT_N4,m^QI_$65r>,công ty báo chí
いじめる,いじめる,"to bully, to torment",Genki Genki_Ln.21 JLPT JLPT_N4,gd&LFipme&,bắt nạt
回る、回す,まわる、まわす,"to go around, to revolve",JLPT JLPT_N4,OXe]%sDun3,"xoay, lật"
～君,～くん,"Mr. (junior) ~, master ~",JLPT JLPT_N4,yqGP#fHaRj,~bạn
おっしゃる,おっしゃる,-- honorific expression for いう --,Genki Genki_Ln.19 JLPT JLPT_N4,Bv6:t/{x_6,Những gì bạn nói
眠い,ねむい,"sleepy, drowsy",Genki Genki_Ln.10 JLPT JLPT_N4,g1)0|I<ucL,buồn ngủ
濡れる,ぬれる,to get wet,JLPT JLPT_N4,"n,@-PdsLi~",Bị ướt
倒れる,たおれる,"to collapse, to break down",JLPT JLPT_N4,k|Od:&*w$$,ngã
スーパー (マーケット),スーパー (マーケット),supermarket,JLPT JLPT_N4,DH3_3RD/FB,siêu thị)
アクセサリー,アクセサリー,accessory,JLPT JLPT_N4,qvO-&Z#/h,phụ kiện
考える,かんがえる,to think (about); to consider,Genki Genki_Ln.18 JLPT JLPT_N4,"M,WdgwY$__",nghĩ
向かう,むかう,"to face, to go towards",JLPT JLPT_N4,sLFa<Dk5BC,Tiêu đề
自由,じゆう,freedom,Genki Genki_Ln.22 JLPT JLPT_N4,lFnDZou.7G,miễn phí
仕方,しかた,way (of doing something),JLPT JLPT_N4,AM]yYl5eIO,Không có sự lựa chọn
首,くび,neck,JLPT JLPT_N4,JPecz-JR}],cái đầu
程,ほど,"degree, extent",JLPT JLPT_N4,p%bF6rAi^7,bằng cấp
代わり,かわり,"substitute, replacement",JLPT JLPT_N4,rZ#&qP#LLe,Thay vì
失敗,しっぱい,"failure, mistake",JLPT JLPT_N4,KT@^}h^l+<,thất bại
工業,こうぎょう,(manufacturing) industry,JLPT JLPT_N4,kLOeCV|5Ly,ngành công nghiệp
移る,うつる,to move (from a house); to transfer (from a department); to shift,JLPT JLPT_N4,EwBssfbpE#,Di chuyển
スーツケース,スーツケース,suitcase,JLPT JLPT_N4,z<X.?7YIM*,va li
ひげ,ひげ,beard,Genki Genki_Ln.17 JLPT JLPT_N4,OC&/lk8Sbt,râu 
研究室,けんきゅうしつ,the professor's office; laboratory,Intermediate_Japanese_Ln.3 JLPT JLPT_N4,C=g-AqnF6#,Phòng thí nghiệm nghiên cứu
工場,こうじょう,factory,Genki Genki_Ln.21 Intermediate_Japanese_Ln.15 JLPT JLPT_N4,zB*.:-`=4j,nhà máy
紹介,しょうかい,an introduction,JLPT JLPT_N4,dT=BbRaUvW,giới thiệu
けれど; けれども,けれど; けれども,"but, although",JLPT JLPT_N4,mDzGR2QZWc,Nhưng; tuy nhiên
舟,ふね,"ship, boat",JLPT JLPT_N4,"B,m2(2B05a",Thuyền
動く,うごく,to move,JLPT JLPT_N4,F~}14d`>!6,Di chuyển
～(に) ついて,～(に) ついて,"about, concerning",JLPT JLPT_N4,"s~K|,g+o=(",Về vấn đề ~
コンサート,コンサート,concert,Genki Genki_Ln.9 JLPT JLPT_N4,c-Fil]C?m3,buổi hòa nhạc
虫,むし,insect,JLPT JLPT_N4,gn!@amuoHx,côn trùng
優しい,やさしい,"kind (person), gentle (person), easy (problem)",Genki Genki_Ln.5 JLPT JLPT_N4,gfbdYDbw~Y,loại
コンピュータ; コンピューター,コンピュータ; コンピューター,computer,JLPT JLPT_N4,i=KlAInS10,Máy tính; Máy tính
植える,うえる,to plant,JLPT JLPT_N4,M>_C}7!LEs,thực vật
両方,りょうほう,"both sides, both parties",JLPT JLPT_N4,w+8nx7:F3*,cả hai
汚れる,よごれる,to become dirty,JLPT JLPT_N4,yxTJ>uc(`r,Hãy làm bẩn tay mình đi!
水泳,すいえい,swimming,JLPT JLPT_N4,p8o.J&l.y:,bơi
経験,けいけんする,experience,JLPT JLPT_N4,f+zL`Y7buD,kinh nghiệm
勝つ,かつ,to win,JLPT JLPT_N4,vi?&`a{.eH,thắng
砂,すな,sand,JLPT JLPT_N4,"v^,Hr#Vg!e",cát
警察,けいさつ,police; police station,Genki Genki_Ln.21 JLPT JLPT_N4,Cqbq5lE;g6,cảnh sát
取り替える,とりかえる,"to exchange, to replace",JLPT JLPT_N4,fAPL%{p!|p,thay thế
急ぐ,いそぐ,"to hurry, to be in a hurry, to rush",Genki Genki_Ln.6 Intermediate_Japanese_Ln.2 JLPT JLPT_N4,C+o)~b82kd,Sự vội vàng
簡単,かんたん,simple,JLPT JLPT_N4,oG^L}3iGdF,dễ
参る,まいる,humble expression for 行く and 来る,Genki Genki_Ln.20 Intermediate_Japanese_Ln.6 JLPT JLPT_N4,dY_fG(MyTI,Tôi đang đến.
全然,ぜんぜん,"not at all; wholly, entirely",JLPT JLPT_N4,iJGs=<smMr,không có gì
特別,とくべつ,special,JLPT JLPT_N4,w*:rZ|MXHf,đặc biệt
復習,ふくしゅう,"review (of lessons), revision",JLPT JLPT_N4,O40vK?08(g,ôn tập
間に合う,まにあう,to be in time for,JLPT JLPT_N4,l3xWb^IMb,Tôi sẽ làm kịp giờ.
役に立つ,やくにたつ,"to be helpful, to be useful",Intermediate_Japanese_Ln.4 JLPT JLPT_N4,Bodoj{2=?#,hữu ích
もうすぐ,もうすぐ,very soon; in a few moments; days,Genki Genki_Ln.12 JLPT JLPT_N4,cr{2h{c->,rất sớm
真中,まんなか,"middle, center",JLPT JLPT_N4,R5Bu:`G<@,ở giữa
戻る,もどる,to return (v.i.); to come back,Genki Genki_Ln.20 Intermediate_Japanese_Ln.8 JLPT JLPT_N4,g9-rOAl2<k,trở lại
研究,けんきゅう,"study, research, investigation",JLPT JLPT_N4,"r,JjBHrK!8",Nghiên cứu
ケーキ,ケーキ,cake,Genki Genki_Ln.13 JLPT JLPT_N4,iADgmRoi>q,bánh ngọt
草,くさ,grass,JLPT JLPT_N4,CRSs:E15FF,Cỏ
込む,こむ,to be crowded,JLPT JLPT_N4,C3zU]</XPv,tinh dịch
この頃,このごろ,"these days, nowadays",Genki Genki_Ln.10 JLPT JLPT_N4,F2eeT8$KYX,Khoảng thời gian này
訪ねる,たずねる,to visit,JLPT JLPT_N4,l{^{>8a$f>,thăm nom
下げる,さげる,to lower (v.t.); to hang,Intermediate_Japanese_Ln.2 JLPT JLPT_N4,mC:cy`3AnB,thấp hơn
花見,はなみ,cherry-blossom viewing,JLPT JLPT_N4,ulvW_e[_zQ,Ngắm hoa anh đào
途中,とちゅう,"on the way, midway",JLPT JLPT_N4,"qP[3T,bvTy",ở giữa
入院,にゅういんする,hospitalization,JLPT JLPT_N4,iB?^g:!ksb,nhập viện
乗り換える,のりかえる,"to transfer (trains), to change (bus, train, etc.)",JLPT JLPT_N4,Fu#~2.ajY<,Chuyển tàu
別れる,わかれる,"to part from, to separate",JLPT JLPT_N4,ova[fXA&]m,chia tay
～町,～ちょう,the town of ~,JLPT JLPT_N4,"mf84}],`T,",~ thị trấn
安全,あんぜん,"safety, security",JLPT JLPT_N4,x>KuTt~>`B,Sự an toàn
看護婦,かんごふ,(female) nurse,JLPT JLPT_N4,Mvt??7-[{v,y tá
見物,けんぶつ,sightseeing,JLPT JLPT_N4,z/6V9+.-]v,tham quan
相談,そうだんする,consultation,JLPT JLPT_N4,"h,~$1#Tmi]",tư vấn
ガソリンスタンド,ガソリンスタンド,"gas station, service station",JLPT JLPT_N4,NoACr|m()D,trạm xăng
テニス,テニス,tennis,Genki Genki_Ln.3 JLPT JLPT_N4,Bm|4X!fT~f,quần vợt
眠る,ねむる,to sleep,JLPT JLPT_N4,H2kKiMD`}M,ngủ
上がる,あがる,"to rise, to go up",JLPT JLPT_N4,cvVez@U$xD,tăng lên
翻訳,ほんやく,translation,Intermediate_Japanese_Ln.8 JLPT JLPT_N4,q5u{4?O6M1,bản dịch
食事,しょくじする,meal,JLPT JLPT_N4,K<!4=Wx(&),bữa ăn
お陰,おかげ,thanks or owing to,JLPT JLPT_N4,y:GH2MLVp!,Cảm ơn
娘,むすめ,daughter (humble),JLPT JLPT_N4,D>Uc.0t(Pv,con gái
湯,ゆ,hot water,JLPT JLPT_N4,qZk(zY%Dgg,Canh
競争,きょうそう,"competition, contest",JLPT JLPT_N4,G%KC6%zs?X,cuộc thi
会議,かいぎ,business meeting; conference,Genki Genki_Ln.21 JLPT JLPT_N4,O^:<Y%-[JT,cuộc họp
湖,みずうみ,lake,Genki Genki_Ln.11 Intermediate_Japanese_Ln.4 JLPT JLPT_N4,pP3.DL~IX-,hồ
集まる,あつまる,"to gather (v.i.), to collect",Intermediate_Japanese_Ln.7 JLPT JLPT_N4,dj|VykRm7g,tụ họp
～にくい,～にくい,difficult to do ~,JLPT JLPT_N4,m7`CbDBUYU,~khó khăn
生活,せいかつする,"living, life; to live",JLPT JLPT_N4,w`Fz_<nW/g,Mạng sống
糸,いと,thread,JLPT JLPT_N4,IpR-(E.>}{,chủ đề
関係,かんけい,"relation(ship), connection",JLPT JLPT_N4,A95yiv24#q,mối quan hệ
ピアノ,ピアノ,piano,Genki Genki_Ln.9 JLPT JLPT_N4,l~WqV~#3P+,đàn piano
～目,～め,"number ~ sequence, ~nd; ~th",JLPT JLPT_N4,E~pd/+U#PU,~mắt
番組,ばんぐみ,broadcast program,Genki Genki_Ln.15 JLPT JLPT_N4,A~P5;`m>{J,chương trình
急,きゅう,"urgent, sudden; steep",JLPT JLPT_N4,tI;p#VWdsZ,Cấp bách
棚,たな,"shelves, rack",JLPT JLPT_N4,u[EB{0+w?@,cái kệ
木綿,もめん,cotton,JLPT JLPT_N4,C1;C=MJBjh,bông
輸出,ゆしゅつする,export,JLPT JLPT_N4,tgSB[Csamk,Đầu ra
タイプ,タイプ,"type, style",JLPT JLPT_N4,GKLj7~1p[w,kiểu
すり,すり,pickpocket,JLPT JLPT_N4,"LZR2]zL[V,",xoa bóp
嬉しい,うれしい,to be happy; to be glad,Genki Genki_Ln.13 JLPT JLPT_N4,"d;<k5,X?rJ",vui mừng
アルコール,アルコール,alcohol,JLPT JLPT_N4,g3}Or~C[qU,rượu bia
ソフト,ソフト,soft; soft hat; software,JLPT JLPT_N4,D1{]Y{P=2b,mềm mại
神社,じんじゃ,Shinto shrine,JLPT JLPT_N4,"p-k,[(f(jy",đền thờ
大分,だいぶ,"fairly well, to a large extent, considerably, pretty much",Intermediate_Japanese_Ln.4 JLPT JLPT_N4,F=YkB>ku|#,Oita
楽しみ,たのしみ,"pleasure, joy",JLPT JLPT_N4,bsnv=TM#%{,vui vẻ
趣味,しゅみ,hobby; pastime,Genki Genki_Ln.20 JLPT JLPT_N4,NkyAEs05(h,sở thích
電報,でんぽう,telegram,JLPT JLPT_N4,d~+A[2;3vQ,điện báo
家内,かない,(one's own) wife,Intermediate_Japanese_Ln.7 JLPT JLPT_N4,JMHIMXzaOu,Trang chủ
指,ゆび,finger,JLPT JLPT_N4,mOnb%$R^21,đề cập đến
これから,これから,"from now on, after this",JLPT JLPT_N4,xyC3_bE-{d,từ bây giờ
たまに,たまに,occasionally,JLPT JLPT_N4,Op~e1|~DMP,Thỉnh thoảng
社会,しゃかい,society,JLPT JLPT_N4,br3q(Z|Zbk,xã hội
