expression,reading,meaning,tags,guid,vietnamese_definition
いたって,いたって,"very much, exceedingly, extremely",JLPT_1 JLPT,%<{<.)4xj,Rất
出世,しゅっせ,"promotion, successful career, eminence",JLPT_1 JLPT,"E,W%,6&bwX",Sinh
出題,しゅつだい,proposing a question,JLPT_1 JLPT,s9z]c<[6wR,Câu hỏi
出動,しゅつどう,"mobilization, action",JLPT_1 JLPT,DVV5Q3:VIK,Đã triển khai
出費,しゅっぴ,"expenses, disbursements",JLPT_1 JLPT,t(JNS{XhuZ,Chi phí
出品,しゅっぴん,"exhibit, display",JLPT_1 JLPT,w}1f=TEQZ|,Thông tin rao bán
主導,しゅどう,main leadership,JLPT_1 JLPT,"d-6;%xC,V(",dẫn đầu
主任,しゅにん,"person in charge, responsible official",JLPT_1 JLPT Intermediate_Japanese_Ln.8 Intermediate_Japanese,P`pi2j!/Zn,giám đốc
首脳,しゅのう,"head, leader",JLPT_1 JLPT,mH>udydI<),các nhà lãnh đạo
守備,しゅび,defense,JLPT_1 JLPT,QyYK8_+Gx6,Phòng thủ
手法,しゅほう,technique,JLPT_1 JLPT,fWl){e*%x`,Kỹ thuật
樹木,じゅもく,"trees and shrubs, arbor",JLPT_1 JLPT,A6EcuVTEn~,cây cối
樹立,じゅりつ,"establish, create",JLPT_1 JLPT,<gHQ~x_IM,Thành lập
準急,じゅんきゅう,"local express (train, slower than an express)",JLPT_1 JLPT,s!T{c]d?zv,Bán tốc hành
準じる,じゅんじる,"to follow, to conform, to apply to",JLPT_1 JLPT,j=V@~uS;G4,tương đương với
～署,～しょ,department,JLPT_1 JLPT,A<!E3T_0vF,~chữ ký
～症,～しょう,disease,JLPT_1 JLPT,y^!rJ~5v8t,~ triệu chứng
～証,～しょう,"proof, certificate",JLPT_1 JLPT,w[XPaJS[}z,~ bằng chứng
～嬢,～じょう,young woman,JLPT_1 JLPT,P&R@B~a4:4,~cô gái trẻ
上位,じょうい,"superior, higher order",JLPT_1 JLPT,s<}P@-YNu`,Đứng đầu
上演,じょうえん,art performance,JLPT_1 JLPT,Ih+PnzSX5U,Hiệu suất
城下,じょうか,land near the castle,JLPT_1 JLPT,FP&uiV(R^g,Thị trấn lâu đài
消去,しょうきょ,"elimination, erasing",JLPT_1 JLPT,KIr]^O720X,xóa
上空,じょうくう,"sky, high-altitude sky, upper air",JLPT_1 JLPT,AT)AL!}Jds,Bên trên
衝撃,しょうげき,"shock, crash, impact, ballistic",JLPT_1 JLPT,rK5G)+e65!,sự va chạm
証言,しょうげん,"evidence, testimony",JLPT_1 JLPT,s_3h<=-PI[,lời khai
証拠,しょうこ,"evidence, proof",JLPT_1 JLPT,H}OPDaDiwx,chứng cớ
照合,しょうごう,"check, verification",JLPT_1 JLPT,hlgHN62g|{,Xác minh
詳細,しょうさい,"detail, particulars",JLPT_1 JLPT,K:oLa1D.!N,chi tiết
上昇,じょうしょう,"rising, ascending, climbing",JLPT_1 JLPT,sWkm1|AEBC,tăng lên
昇進,しょうしん,promotion,JLPT_1 JLPT,d~xF3H=[az,khuyến mãi
称する,しょうする,"to take the name of, to call oneself",JLPT_1 JLPT,tSb%>:%%!V,gọi
情勢,じょうせい,"state of things, condition, situation",JLPT_1 JLPT,MJ1D.[x{)c,tình huống
消息,しょうそく,"news, letter, circumstances",JLPT_1 JLPT,u6>otPY%%b,thông tin
承諾,しょうだく,"consent, agreement",JLPT_1 JLPT,qBKI4V%6RZ,hứa
情緒,じょうちょ,"emotion, feeling",JLPT_1 JLPT,k3To8MWJIl,tâm trạng
情緒,じょうしょ,"emotion, feeling",JLPT_1 JLPT,tX-.yH%tsu,tâm trạng
象徴,しょうちょう,symbol,JLPT_1 JLPT,Nr_Pr2R$>-,biểu tượng
小児科,しょうにか,pediatrics,JLPT_1 JLPT,BV(PyO5`Xp,Nhi khoa
使用人,しようにん,"employee, servant",JLPT_1 JLPT,LygcFyOci?,Người dùng
情熱,じょうねつ,"passion, enthusiasm, zeal",JLPT_1 JLPT,I{iqV8B>VE,niềm đam mê
譲歩,じょうほ,"concession, conciliation, compromise",JLPT_1 JLPT,qTRRmo8`cg,Nhượng quyền
条約,じょうやく,"treaty, pact",JLPT_1 JLPT Intermediate_Japanese_Ln.8 Intermediate_Japanese,mBj5_YKg@T,Hiệp ước
勝利,しょうり,"victory, triumph, win",JLPT_1 JLPT,G@C3MHqMp~,chiến thắng
上陸,じょうりく,"landing, disembarkation",JLPT_1 JLPT,P?*6mTt|Ou,hạ cánh
蒸溜,じょうりゅう,distillation,JLPT_1 JLPT,N0wHhg4iZ},chưng cất
奨励,しょうれい,"encouragement, promotion",JLPT_1 JLPT,m8|HwkmQWl,Sự khích lệ
ショー,ショー,show,JLPT_1 JLPT,i~@270zDDg,trình diễn
除外,じょがい,"exception, exclusion",JLPT_1 JLPT,An-_sCcDl?,ngoại trừ
職員,しょくいん,"staff member, personnel",JLPT_1 JLPT,"c/)%MF,^yx",Nhân viên
植民地,しょくみんち,colony,JLPT_1 JLPT,pqv+nRs.EA,thuộc địa
職務,しょくむ,professional duties,JLPT_1 JLPT,M%7$<MDK;D,Công việc
諸君,しょくん,"Gentlemen!, Ladies!",JLPT_1 JLPT,w8&8<Oq8q1,Thưa quý ông
助言,じょげん,"advice, suggestion",JLPT_1 JLPT Intermediate_Japanese Intermediate_Japanese_Ln.11,jgva&{5Yv},khuyên bảo
徐行,じょこう,going slowly,JLPT_1 JLPT,1}h4@}[.},chậm lại
所在,しょざい,whereabouts,JLPT_1 JLPT,HYCS:(5sD5,Vị trí
所持,しょじ,"possession, owning",JLPT_1 JLPT,FFV#Fu]e{M,Chiếm hữu
所属,しょぞく,"attached to, belong to",JLPT_1 JLPT,kcA;O>C=q2,Liên kết
処置,しょち,treatment,JLPT_1 JLPT,oElimwftu&,sự đối đãi
しょっちゅう,しょっちゅう,"always, constantly",JLPT_1 JLPT,qt.$TI&_S;,mọi lúc
所定,しょてい,"fixed, prescribed",JLPT_1 JLPT,lE2*Emk;Hc,được kê đơn
所得,しょとく,income,JLPT_1 JLPT,x{~.Tp:rb[,Thu nhập
処罰,しょばつ,punishment,JLPT_1 JLPT,"gNz:>*,MG$",Hình phạt
初版,しょはん,first edition,JLPT_1 JLPT,fiRSr!;Y&A,Ấn bản đầu tiên
書評,しょひょう,book review,JLPT_1 JLPT,x:`od~M8;V,Đánh giá sách
処分,しょぶん,"disposal, dealing, punishment",JLPT_1 JLPT,ob921zNQ/x,xử lý
庶民,しょみん,"masses, common people",JLPT_1 JLPT,m?>)`ISejw,người dân thường
庶務,しょむ,general affairs,JLPT_1 JLPT,ibnBaKrH9N,Vụ việc chung
所有,しょゆう,"one's possessions, ownership",JLPT_1 JLPT,M/&X&72l%L,tất cả
調べ,しらべ,"investigation, inspection",JLPT_1 JLPT,K1M}#OQ[$e,Cuộc điều tra
自立,じりつ,"independence, self-reliance",JLPT_1 JLPT,AxK*wI27?U,Độc lập
記す,しるす,"to note, to write down",JLPT_1 JLPT,IY#:UXg$YC,để viết
指令,しれい,"orders, instructions, directive",JLPT_1 JLPT,f3?Z1%=TF7,chỉ dẫn
～心,～しん,mind of ~,JLPT_1 JLPT,jQ&{mv~mg},~trái tim
陣,じん,"battle formation, camp, encampment",JLPT_1 JLPT,P;NE${7wn9,sự hình thành
進化,しんか,"evolution, progress",JLPT_1 JLPT,N0sG+rp=}d,sự tiến hóa
人格,じんかく,"personality, character",JLPT_1 JLPT,bv:L&X%{w_,nhân cách
審議,しんぎ,deliberation,JLPT_1 JLPT,ljmGvuxGK[,Thảo luận
新婚,しんこん,newly-wed,JLPT_1 JLPT,kXZM5E]M1a,Cặp vợ chồng mới cưới
審査,しんさ,"judging, inspection, examination",JLPT_1 JLPT,Aov$8-^cUL,bài kiểm tra
人材,じんざい,man of talent,JLPT_1 JLPT,C?4X*:ZTpD,Nhân sự
紳士,しんし,gentleman,JLPT_1 JLPT,x9OmT9u38P,quý ông
真実,しんじつ,"truth, reality",JLPT_1 JLPT,oVA.}`H~AT,sự thật
信者,しんじゃ,"believer, devotee",JLPT_1 JLPT,xS[kK:ZdWC,những người tin tưởng
真珠,しんじゅ,pearl,JLPT_1 JLPT,AK4RS}QdNe,ngọc trai
進出,しんしゅつ,advancement,JLPT_1 Intermediate_Japanese_Ln.14 JLPT Intermediate_Japanese,K-D|x_JFrP,Gia nhập thị trường
心情,しんじょう,mentality,JLPT_1 JLPT,PHxCA~>U^},Cảm giác
新人,しんじん,"new face, newcomer",JLPT_1 JLPT,n<1jM&wYZ&,Người mới
神聖,しんせい,"holiness, sacredness, dignity",JLPT_1 JLPT,N+v0O:SZ6<,thiêng liêng
親善,しんぜん,friendship,JLPT_1 JLPT,e$!ZsAnYeT,Tình bạn
真相,しんそう,"truth, real situation",JLPT_1 JLPT,"IQ@9>LJ,&M",sự thật
迅速,じんそく,"quick, fast, prompt",JLPT_1 JLPT,g^-!|Cie-4,nhanh
人体,じんたい,human body,JLPT_1 JLPT,wqIT;%IHe9,cơ thể con người
新築,しんちく,"new building, new construction",JLPT_1 JLPT,Ozg8V>5l.l,Công trình xây dựng mới
心中,しんじゅう,double suicide,JLPT_1 JLPT,H1pTQNX=9t,Trong trái tim tôi
進呈,しんてい,presentation,JLPT_1 JLPT,CZ`K3:aqAR,Quà
進展,しんてん,"progress, development",JLPT_1 JLPT,b(>k}9=qxl,tiến triển
神殿,しんでん,"temple, sacred place",JLPT_1 JLPT,y(skY$ucA+,ngôi đền
進度,しんど,progress,JLPT_1 JLPT,yu/)M8)V(L,lịch trình
振動,しんどう,"oscillation, vibration",JLPT_1 JLPT,sad?lNEJ3g,rung động
新入生,しんにゅうせい,"new student, first-year student, freshman",JLPT_1 Intermediate_Japanese_Ln.5 JLPT Intermediate_Japanese,x)<B[r6{jj,Sinh viên mới
信任,しんにん,"trust, confidence, credence",JLPT_1 JLPT,"hWLnw4y,]t",lòng tin
神秘,しんぴ,mystery,JLPT_1 JLPT,"N,Y7P[tIGQ",bí ẩn
辛抱,しんぼう,"patience, endurance",JLPT_1 JLPT,uU~=4Y)qMA,tính kiên nhẫn
人民,じんみん,"people, public",JLPT_1 JLPT,nAw=2?(bZX,mọi người
侵略,しんりゃく,"aggression, invasion, raid",JLPT_1 JLPT,hsxv1184OS,sự hung hăng
診療,しんりょう,medical examination and treatment,JLPT_1 JLPT,x1%iVb>rlb,Điều trị y tế
粋,すい,essence,JLPT_1 JLPT,zsq|f`1Yv,Phong cách
水源,すいげん,source of river,JLPT_1 JLPT,n/^g6e7/@{,nguồn nước
推進,すいしん,"propulsion, driving force",JLPT_1 JLPT,"J08-VaUM,s",Nâng cao
吹奏,すいそう,playing wind instruments,JLPT_1 JLPT,m]6xm=<uJ6,Dàn nhạc hơi
推測,すいそく,"guess, conjecture",JLPT_1 JLPT,zvP)r1F]3S,suy đoán
水田,すいでん,(water-filled) paddy field,JLPT_1 JLPT,v5ySQN]{G>,ruộng lúa
推理,すいり,"reasoning, inference, mystery or detective genre",JLPT_1 JLPT,jer`Bu/O84,lý luận
数詞,すうし,numeral,JLPT_1 JLPT,p</Ez{aJ5+,chữ số
崇拝,すうはい,"worship, adoration",JLPT_1 JLPT,Hw_TI!gx2(,tôn thờ
据え付ける,すえつける,"to install, to equip, to mount",JLPT_1 JLPT,BP/>6=lZh5,Cài đặt
据える,すえる,"to set, to lay, to place",JLPT_1 JLPT,t!g&pW29AZ,Cài đặt
すがすがしい,すがすがしい,"fresh, refreshing",JLPT_1 JLPT,rK/?@VVUlf,Tươi mát
救い,すくい,"help, aid, relief",JLPT_1 JLPT,qsOm7CX`b8,sự cứu rỗi
すくう (みずを～),すくう (みずを～),to scoop,JLPT_1 JLPT,iDqa!wq<Tq,Múc (nước)
健やか,すこやか,"vigorous, healthy, sound",JLPT_1 JLPT,"hH9J*t,rc_",khỏe mạnh
濯ぐ,すすぐ,"to rinse, to wash out",JLPT_1 JLPT,E0ffUY?7qt,rửa sạch
進み,すすみ,progress,JLPT_1 JLPT,p1:(iOmlNJ,Tiếp tục
裾,すそ,"(trouser) cuff, (skirt) hem, cut edge of a hairdo",JLPT_1 JLPT,xF_(AQj}lF,viền
スタジオ,スタジオ,studio,JLPT_1 JLPT,ic%[^BEKt/,phòng thu
スチーム,スチーム,steam,JLPT_1 JLPT,nXB;]AdyMC,hơi nước
ストライキ,ストライキ,strike,JLPT_1 JLPT,nf-SMH*rKm,đánh đập
スト,スト,(abbr.) strike,JLPT_1 JLPT,oc==H8k2kf,Đường phố
ストロー,ストロー,straw,JLPT_1 JLPT,A.~AmwkH4Z,rơm
ストロボ,ストロボ,"stroboscope (literally: strobo, strobe lamp, stroboscopic lamp)",JLPT_1 JLPT,rNiv+g8N.Q,đèn nháy
すばしこい,すばしこい,"nimble, smart, quick",JLPT_1 JLPT,p[HsSa}_~h,Nhanh
素早い,すばやい,"fast, quick",JLPT_1 JLPT,qLzUXrbxxM,nhanh
ずばり,ずばり,"decisively, unreservedly, frankly",JLPT_1 JLPT,zNubn^c5m8,Nói thẳng ra là...
スプリング,スプリング,spring,JLPT_1 JLPT,M&<1|Qyfm^,mùa xuân
スペース,スペース,space,JLPT_1 JLPT,"mfYc5:,T$)",không gian
ずぶぬれ,ずぶぬれ,"soaked, dripping wet",JLPT_1 JLPT,O=YLrvca-#,Ngâm
スポーツカー,スポーツカー,sports car,JLPT_1 JLPT,ILQ_{U)ioI,xe thể thao
澄ます,すます,"to clear, to make clear, to listen for",JLPT_1 JLPT,o+[:%ypXAI,Thông thoáng
清ます,すます,"to clear, to make clear, to listen for",JLPT_1 JLPT,gWgE<)O|pN,Làm sạch
済ます,すます,to finish; to settle; to do without,JLPT_1 JLPT,BI9b~SlUc1,Hoàn thành
すみやか,すみやか,speedy,JLPT_1 JLPT,MC/)GM9mOK,Lời nhắc
スラックス,スラックス,slacks,JLPT_1 JLPT,tpKEoAzoEC,quần tây
ずらっと,ずらっと,"in a line, in a row",JLPT_1 JLPT,GHI-Z0iw2Q,Cả một hàng
ずるずる,ずるずる,"dragging on, sound of sniffling",JLPT_1 JLPT,xPdB)weA$j,Trơn
ずれ,ずれ,"difference, gap",JLPT_1 JLPT,ml<Cz:NIm9,sự sai lệch
すれちがい,すれちがい,chance encounter,JLPT_1 JLPT,h}n%.0]G*],Đi ngang qua nhau
擦れる,すれる,"to rub, to chafe",JLPT_1 JLPT,y1pczASP(>,xoa bóp
すんなり,すんなり,"pass with no objection, slim, slender",JLPT_1 JLPT,c{rT9&J2OZ,Mượt mà
生育,せいいく,"growth, development, breeding",JLPT_1 JLPT,A*eQ]~1bJ/,Sinh con
成育,せいいく,"growth, raising",JLPT_1 JLPT,A=.t}i>GW3,sự phát triển
成果,せいか,"results, fruits",JLPT_1 JLPT,BVYQfcf%9,Kết quả
正解,せいかい,"correct, right answer, solution",JLPT_1 JLPT,Lt;.HzCJ&F,câu trả lời đúng
正義,せいぎ,"justice, right, righteousness",JLPT_1 JLPT,C*lSCCu$Is,công lý
生計,せいけい,"livelihood, living",JLPT_1 JLPT,sFe^vK-tW[,sinh kế
政権,せいけん,"(political) administration, political power",JLPT_1 JLPT,ySl]BBHxv|,sự quản lý
星座,せいざ,constellation,JLPT_1 JLPT,v8-]C(eL~-,chòm sao
制裁,せいさい,"restraint, sanctions, punishment",JLPT_1 JLPT,"&>5Y-0M,/",Trừng phạt
政策,せいさく,"political measures, policy",JLPT_1 JLPT,"hAD&H|lfX,",chính sách
生死,せいし,life and death,JLPT_1 JLPT,[jWyFv3NW,sự sống và cái chết
静止,せいし,"stillness, repose, standing still",JLPT_1 JLPT,o*g2}G_T7@,vẫn
誠実,せいじつ,"sincere, honest, faithful",JLPT_1 JLPT,bL3/~B_@Jx,sự chân thành
成熟,せいじゅく,"maturity, ripeness",JLPT_1 JLPT,mi&AvT*VW%,Trưởng thành
青春,せいしゅん,"youth, springtime of life, adolescent",JLPT_1 JLPT,r1RCkb<y|$,thiếu niên
清純,せいじゅん,"purity, innocence",JLPT_1 JLPT,ONr5>]A5d|,nguyên chất
聖書,せいしょ,Bible,JLPT_1 JLPT,Q@S9S%oEQ1,Kinh Thánh
正常,せいじょう,"normalcy, normality, normal",JLPT_1 JLPT,wA-k/9L$M{,Bình thường
制する,せいする,"to control, to command",JLPT_1 JLPT,rf}l5O&Iya,Điều khiển
整然,せいぜん,"orderly, regular, well-organized",JLPT_1 JLPT,PN>H*K1;6z,có trật tự
盛装,せいそう,"be dressed up, wear rich clothes",JLPT_1 JLPT,"NT,a6{jkV^",Mặc quần áo
盛大,せいだい,"grand, prosperous, magnificent",JLPT_1 JLPT,oA#/^#fynU,lớn
清濁,せいだく,"good and evil, purity and impurity",JLPT_1 JLPT,LIBty_QSI!,Trong suốt và đục
制定,せいてい,"enactment, establishment, creation",JLPT_1 JLPT,w/{{PKSO-l,Xây dựng công thức
静的,せいてき,static,JLPT_1 JLPT,qS/}NK^[E0,Im lặng
製鉄,せいてつ,iron manufacture,JLPT_1 JLPT,q1#~15/jx^,Sản xuất thép
晴天,せいてん,fine weather,JLPT_1 JLPT,O`AKp9t/nh,nhiều nắng
正当,せいとう,"just, due, proper",JLPT_1 JLPT,KYfFW0c&^H,Chỉ
制服,せいふく,uniform,JLPT_1 JLPT,KjpnwgIuCJ,đồng phục
征服,せいふく,"conquest, subjugation, overcoming",JLPT_1 JLPT,UI+/g3/T<,chinh phục
製法,せいほう,"manufacturing method, recipe, formula",JLPT_1 JLPT,r$Viif`6:S,Phương pháp sản xuất
精密,せいみつ,"precise, exact, detailed, minute",JLPT_1 JLPT,k?w!_L!izK,Độ chính xác
税務署,ぜいむしょ,tax office,JLPT_1 JLPT,cu&VjhU0YM,Văn phòng thuế
制約,せいやく,"limitation, constraints",JLPT_1 JLPT,eGs}Rjdjyu,Hạn chế
勢力,せいりょく,"influence, power, might, strength",JLPT_1 JLPT,jCKk=3Gx//,quyền lực
整列,せいれつ,"stand in a row, form a line",JLPT_1 JLPT,K=?{2[EdLY,Xếp hàng
セール,セール,sale,JLPT_1 JLPT,bTb.7j.bY0,Doanh thu
急かす,せかす,"to hurry, to urge on",JLPT_1 JLPT,r25!gS/G>A,sự vội vàng
伜,せがれ,"son, my son",JLPT_1 JLPT,CVmDxN*tGx,Con trai
責務,せきむ,"duty, obligation",JLPT_1 JLPT,ct_SCVUYk9,Trách nhiệm
セクション,セクション,section,JLPT_1 JLPT,oE+>)~hYZ>,phần
世辞,せじ,"flattery, compliment",JLPT_1 JLPT,i2*b#^+2.G,Lời nịnh hót
世帯,せたい,household,JLPT_1 JLPT,M;wkDh)_[-,hộ gia đình 
是正,ぜせい,"correction, revision",JLPT_1 JLPT,r4z<%];90$,sửa lỗi
世代,せだい,generation,JLPT_1 JLPT,vXhkxYs)ro,thế hệ
切開,せっかい,"opening up, cutting through",JLPT_1 JLPT,j3{#e(JGO?,Cắt
セックス,セックス,sex,JLPT_1 JLPT,p^XJZeb_m$,tình dục
切実,せつじつ,"compelling, serious, severe, acute",JLPT_1 JLPT,"b(%wDAP,4<",Tuyệt vọng
接触,せっしょく,"touch, contact",JLPT_1 JLPT,euP9o6khjK,chạm
接続詞,せつぞくし,conjunction,JLPT_1 JLPT,jxx/dj^^[F,sự liên kết
設置,せっち,"establishment, institution",JLPT_1 JLPT,dTa#ev1!lY,cài đặt
折衷,せっちゅう,"compromise, cross, blending, eclecticism",JLPT_1 JLPT,z.Jdo5|UwK,thỏa hiệp
設定,せってい,"establishment, creation",JLPT_1 JLPT,EL[q3!y3K%,cài đặt
説得,せっとく,persuasion,JLPT_1 JLPT,p@nzS4e%Pe,Thuyết phục
切ない,せつない,"painful, trying, sad",JLPT_1 JLPT,Op2N@ZY@PL,đau đớn
絶版,ぜっぱん,out of print,JLPT_1 JLPT,wscau>2!!B,Hết ấn bản
設立,せつりつ,"establishment, foundation, institution",JLPT_1 JLPT,nV|*LLs6}!,cài đặt
攻め,せめ,"attack, offense",JLPT_1 JLPT,lp+Bg:0JY+,Tấn công
ゼリー,ゼリー,jelly,JLPT_1 JLPT,pUMI]4pC]5,thạch
セレモニー,セレモニー,ceremony,JLPT_1 JLPT,ElF~:n|$Dm,lễ
世論,せろん,public opinion,JLPT_1 JLPT,cn7+uG:k{Q,dư luận
先,せん,"priority, precedence, previous",JLPT_1 JLPT,K[s:+C@-V{,Đầu tiên
繊維,せんい,"fiber, fiber, textile",JLPT_1 JLPT,IoI]vI^@?E,sợi
全快,ぜんかい,complete recovery of health,JLPT_1 JLPT,jMG%U5Y*b],Phục hồi hoàn toàn
宣教,せんきょう,religious mission,JLPT_1 JLPT,t2!m+EN<kt,Nhiệm vụ
宣言,せんげん,"declaration, proclamation, announcement",JLPT_1 JLPT,N*Sn3]6F}u,tuyên ngôn
戦災,せんさい,war damage,JLPT_1 JLPT,g*>*T{UX8V,Thiệt hại chiến tranh
専修,せんしゅう,specialization,JLPT_1 JLPT,iF/[EjL/PH,Senshu
戦術,せんじゅつ,tactics,JLPT_1 JLPT,fClOu9u4S.,chiến thuật
センス,センス,"sense (for music, style, tact, etc.)",JLPT_1 JLPT,kOf@Kc#S!?,Giác quan
潜水,せんすい,diving,JLPT_1 JLPT,kXmApIVn4{,lặn
全盛,ぜんせい,height of prosperity,JLPT_1 JLPT,PA4!?*R&)6,Ở thời kỳ đỉnh cao
先代,せんだい,"family predecessor, previous age, previous generation",JLPT_1 JLPT,A@$Xh`C*#q,Thế hệ trước
先だって,せんだって,"recently, the other day",JLPT_1 JLPT,bpeAMs`g=B,Trước đây
先着,せんちゃく,first arrival,JLPT_1 JLPT,s5`[<)lze/,Ai đến trước được phục vụ trước
前提,ぜんてい,"preamble, premise, prerequisite",JLPT_1 JLPT,M^(]5)Q28q,tiền đề
先天的,せんてんてき,"inherent, congenital, hereditary",JLPT_1 JLPT,e8-*cxos*(,bẩm sinh
前途,ぜんと,"future prospects, outlook, the journey ahead",JLPT_1 JLPT,rUv_dSLlLH,tương lai
戦闘,せんとう,"battle, fight, combat",JLPT_1 JLPT,LE#Z8!)h7>,trận đánh
潜入,せんにゅう,"infiltration, sneaking in",JLPT_1 JLPT,jwMP<D<nu+,Sự xâm nhập
船舶,せんぱく,ship,JLPT_1 JLPT,yT?Wj-:Bft,Tàu thuyền
全滅,ぜんめつ,annihilation,JLPT_1 JLPT,gs]{cpbeS;,Sự hủy diệt
専用,せんよう,"exclusive use, personal use",JLPT_1 JLPT,E|;c&Jmrd8,loại trừ
占領,せんりょう,"occupation, possession, have a room to oneself",JLPT_1 JLPT,N-V{tXojX`,nghề nghiệp
善良,ぜんりょう,"goodness, excellence, virtue",JLPT_1 JLPT,eGNEV*g</#,Loại
戦力,せんりょく,war potential,JLPT_1 JLPT,jsYNJMtfV.,Sức mạnh quân sự
前例,ぜんれい,precedent,JLPT_1 JLPT,z6IRT7DoRm,tiền lệ
相応,そうおう,"suitability, fitness",JLPT_1 JLPT,Cm`/n`5$^$,Phù hợp
総会,そうかい,general meeting,JLPT_1 JLPT,v.Q]y8[=}p,Đại hội đồng
創刊,そうかん,"launching (e.g., newspaper, first issue)",JLPT_1 JLPT,k7n}7cIr>q,Số đầu tiên
雑木,ぞうき,"various kinds of small trees, assorted trees",JLPT_1 JLPT,K-dqvXawa`,Cây rụng lá
早急,そうきゅう,urgent,JLPT_1 JLPT,xFEe8[1r^m,nhanh
早急,さっきゅう,urgent,JLPT_1 JLPT,n`GeYo>FBk,nhanh
増強,ぞうきょう,"reinforce, increase",JLPT_1 JLPT,"rV,>ZZ=T]Q",Sự nâng cao
送金,そうきん,"remittance, sending money",JLPT_1 JLPT,bDXNFraL0R,Chuyển tiền
走行,そうこう,"running a wheeled vehicle (e.g., car, traveling)",JLPT_1 JLPT,E{T/IqjEfE,Lái xe
総合,そうごう,"synthesis, generalization",JLPT_1 JLPT,nY;2hmT##_,Tổng thể
捜索,そうさく,"search (esp. for someone or something missing, investigation)",JLPT_1 JLPT,Q:2J1qwTVc,tìm kiếm
蔵相,ぞうしょう,Minister of Finance,JLPT_1 JLPT,fn1-ZB(4T-,Bộ trưởng Tài chính
装飾,そうしょく,ornament,JLPT_1 JLPT,QA)=&Wj6HM,Trang trí
増進,ぞうしん,"promoting, increase, advance",JLPT_1 JLPT,IZpN7AL;vh,Khuyến mãi
相対,そうたい,relative,JLPT_1 JLPT,I!n?!w[?BY,liên quan đến
壮大,そうだい,"magnificent, grand, majestic",JLPT_1 JLPT,"mVUTF,w/3&",phát triển
騒動,そうどう,"strife, riot, rebellion",JLPT_1 JLPT,f=viWAh8g@,sự hỗn loạn
遭難,そうなん,"disaster, shipwreck, accident",JLPT_1 JLPT,E:/^OnBk`,Sự đau khổ
相場,そうば,"market price, speculation, estimation",JLPT_1 JLPT,sA7SWg(`IK,giá thị trường
装備,そうび,equipment,JLPT_1 JLPT,k;e~1ueRAo,Thiết bị
創立,そうりつ,"establishment, founding",JLPT_1 JLPT,jki@VUPP0r,Thành lập
添える,そえる,"to add to, to attach, to accompany",JLPT_1 JLPT,"h,nxD[s(P9",để dùng kèm với
ソース,ソース,source,JLPT_1 JLPT,tTpwt)2AmK,nước xốt
即座に,そくざに,"immediately, right away",JLPT_1 JLPT,P;B^M<8:(U,Ngay lập tức
促進,そくしん,"promotion, acceleration, encouragement",JLPT_1 JLPT,qh4@1q0m.W,Khuyến khích
即する,そくする,"to conform to, to agree with, to be adapted to,",JLPT_1 JLPT,t:DoS~nc0!,Ngay lập tức
束縛,そくばく,"restraint, restriction, confinement",JLPT_1 JLPT,l|/yaf0Kt?,Sự kiềm chế
側面,そくめん,"side, sidelight, lateral",JLPT_1 JLPT,g+c1Ex)t~@,bên
損う,そこなう,"to harm, to hurt",JLPT_1 JLPT,lT+Npb!3tv,Thua
そこら,そこら,"everywhere, somewhere",JLPT_1 JLPT,sWp/2)qrjX,xung quanh đó
素材,そざい,"raw materials, subject matter",JLPT_1 JLPT,k+jer~`){},vật liệu
阻止,そし,"obstruction, check, hindrance",JLPT_1 JLPT,H_Bg*f2w~u,Ngăn chặn
訴訟,そしょう,"litigation, lawsuit",JLPT_1 JLPT,r473?K:c)w,kiện tụng
育ち,そだち,"breeding, growth",JLPT_1 JLPT,I7y!o0nH<>,Sự nuôi dạy
措置,そち,"measure, step",JLPT_1 JLPT,wm=Ne<1R~K,Đo
ソックス,ソックス,socks,JLPT_1 JLPT,bW`v0lIx&{,tất
素っ気無い,そっけない,"cold, short, curt, blunt",JLPT_1 JLPT,m@~(NcJuf8,lạnh lẽo
外方,そっぽ,look (or turn) the other way,JLPT_1 JLPT,mx1|xYC`zo,Bên nước ngoài
備え付ける,そなえつける,"to provide, to equip, to install",JLPT_1 JLPT,?a*256zVd,Cài đặt
備わる,そなわる,to be furnished with,JLPT_1 JLPT,f0#k].O9>M,được trang bị
具わる,そなわる,to be furnished with,JLPT_1 JLPT,hS*=fc5g`d,Thành phần
聳える,そびえる,"to rise, to tower, to soar",JLPT_1 JLPT,N#XbC.4.6E,cao chót vót
素朴,そぼく,"simplicity, artlessness, naivety",JLPT_1 JLPT,i)~;{+Y_4I,Đơn giản
背く,そむく,"to run counter to, to go against",JLPT_1 JLPT,lwG+$Mpa}3,thách thức
染まる,そまる,to be dyed,JLPT_1 JLPT,D^_/a/#sXJ,nhuộm
染める,そめる,"to dye, to color",JLPT_1 JLPT,"u,7!Dp;dsk",thuốc nhuộm
そらす,そらす,"to bend, to warp",JLPT_1 JLPT,O/=U<S;HO[,chuyển hướng
そり (～にのる),そり (～にのる),"sleigh, sled",JLPT_1 JLPT,oD<qmOFt48,xe trượt tuyết (để cưỡi)
反る,そる,"to warp, to be warped, to curve",JLPT_1 JLPT,IJaW-#q2K8,uốn cong
それゆえ,それゆえ,"therefore, for that reason, so",JLPT_1 JLPT,fd1U3Eqd0z,Vì thế
